Date,Username,User tag,Content,Mentions,link
"2025-09-20,00:11:46",songlai1320,#0,Wait I’m confused again… is the “strength” dependent on the yield stress? The ultimates stress? Or the force that if takes to reach the yield plateau? Or does it depend on the context?,mirageiiirz#0,
"2025-09-20,00:12:26",mirageiiirz,#0,latter,,
"2025-09-20,00:13:06",mirageiiirz,#0,strength usually refers to the stress but in a lack of context i could argue it could also mean force,,
"2025-09-20,00:13:13",mirageiiirz,#0,like this,,
"2025-09-20,00:13:37",songlai1320,#0,That’s why Bentz said to keep track of the notions… 😭,,
"2025-09-20,00:13:49",mirageiiirz,#0,what's the question,,
"2025-09-20,00:14:11",songlai1320,#0,Cuz in q6 b iii they’re asking for the strongest equivalent *spring*,,
"2025-09-20,00:14:27",songlai1320,#0,So I’m thinking of using the yielding strength multiplied by volume,,
"2025-09-20,00:14:42",songlai1320,#0,But carbon fibre doesn’t yield?,,
"2025-09-20,00:15:24",songlai1320,#0,,,https://cdn.discordapp.com/attachments/1412130655235604512/1418812767619514481/1418812696148836463remix-1758341722832.png?ex=690a269c&is=6908d51c&hm=a1a216a9d37e890cf3d10956c1bca97e7e25e7649dae28d89a842ce5afc22879&
"2025-09-20,00:21:49",mirageiiirz,#0,how are you defining strong and tough here,,
"2025-09-20,00:23:39",songlai1320,#0,"Do we get to define that? 🥹 
I did F_{yield} as “strong” (since they’re springs… so only the linearly elastic behavior would count?) and “energy before breaking” as tough",,
"2025-09-20,00:24:43",mirageiiirz,#0,oh it's the strongest material for given dimensions,,
"2025-09-20,00:24:59",mirageiiirz,#0,well yeah there's really only one good definition,,
"2025-09-20,00:26:32",songlai1320,#0,"Ah ok
Thanks a bunch!",,
"2025-09-20,08:03:42",alanwang981,#0,highest k value,songlai1320#0,
"2025-09-20,10:19:36",songlai1320,#0,They have the same k value 🥹 and i think that’s what c is asking for? Thanks tho,,
"2025-09-24,21:02:37",emirhssk,#0,Anyone willing to share their notes for today's lecture? Thank you in advance!,,
"2025-09-24,22:59:38",spicylemon._.,#0,Mine are dookie,,
"2025-09-24,22:59:52",spicylemon._.,#0,Dm me if u want them 😭,,
"2025-09-24,23:20:08",mirageiiirz,#0,dooku,spicylemon._.#0,
"2025-09-24,23:20:09",mirageiiirz,#0,,,https://cdn.discordapp.com/attachments/1412130655235604512/1420610805036224542/image.png?ex=690ac269&is=690970e9&hm=63b0959531dbc3e1f99a6827d85686a1ef189d22e31e713b57f16cd2d3c5964b&
"2025-09-24,23:22:48",spicylemon._.,#0,my mind is having trouble synthesizing this information 😂 😂,,
